person,personLabel,Property0Label,Property1Label,Property2Label,Property3Label,Property4Label,Property5Label,Property6Label,Property7Label,Property8Label,Property9Label,Property10Label,Property11Label,Property12Label,Property13Label,Property614Label,Property15Label,Property16Label,Property17Label,Property18Label,Property19Label,Property20Label,Property21Label,Property22Label,Property23Label,Property24Label,Property25Label,Property26Label
http://www.wikidata.org/entity/Q4633167,2Mex,Los Angeles,male,United States of America,,,,,,,,rapper,,hip hop music,,,,,,,1973-01-01T00:00:00Z,,,,,,,
http://www.wikidata.org/entity/Q50352763,30 Roc,The Bronx,male,,,,,,,,,music producer,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q55585016,38 Spesh,Rochester,male,,,,,,,,,rapper,,,,,,,,,1901-01-01T00:00:00Z,,,,,,,
http://www.wikidata.org/entity/Q108562971,A.GIRL,,female,Australia,,,,,,,,musician,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q252712,Ângelo Torres,Equatorial Guinea,male,Portugal,,,,,,,Portuguese,actor,,,,,,,,,1968-04-14T00:00:00Z,,,,,Torres,Ângelo,
http://www.wikidata.org/entity/Q252712,Ângelo Torres,Equatorial Guinea,male,Portugal,,,,,,,Portuguese,film director,,,,,,,,,1968-04-14T00:00:00Z,,,,,Torres,Ângelo,
http://www.wikidata.org/entity/Q11858954,Étienne Goyémidé,Ippy,male,Central African Republic,minister,,,,,,,writer,,,,,,,,,1942-01-01T00:00:00Z,1997-03-17T00:00:00Z,,,,,Etienne,
http://www.wikidata.org/entity/Q11858954,Étienne Goyémidé,Ippy,male,Central African Republic,minister,,,,,,,poet,,,,,,,,,1942-01-01T00:00:00Z,1997-03-17T00:00:00Z,,,,,Etienne,
http://www.wikidata.org/entity/Q11858954,Étienne Goyémidé,Ippy,male,Central African Republic,minister,,,,,,,politician,,,,,,,,,1942-01-01T00:00:00Z,1997-03-17T00:00:00Z,,,,,Etienne,
http://www.wikidata.org/entity/Q11858954,Étienne Goyémidé,Ippy,male,Central African Republic,minister,,,,,,,playwright,,,,,,,,,1942-01-01T00:00:00Z,1997-03-17T00:00:00Z,,,,,Etienne,
http://www.wikidata.org/entity/Q110819690,Aadhavan,,male,,,,,,,,,actor,,,,,,,,,1980-01-01T00:00:00Z,,,,,,,
